name,type,status,language,travis,repository,release,description
cocoda,application,production,JavaScript,org,https://github.com/gbv/cocoda,,web application mapping tool
jskos-server,application,production,JavaScript,com,https://github.com/gbv/jskos-server,,JSKOS mapping provider
jskos-tools,library,production,JavaScript,com,https://github.com/gbv/jskos-tools,jskos-tools,JSKOS mapping provider
wikidata-jskos,library,production,JavaScript,com,http://github.com/gbv/wikidata-jskos,,Access Wikidata in JSKOS format
occurrences-api,prototype,production,Perl,com,https://github.com/gbv/occurrences-api,,API to query catalog (co)occurrences
mc2skos,application,production,Python,com,https://github.com/scriptotek/mc2skos,mc2skos,command-line tool to convert MARC to SKOS
jskos-php,library,production,PHP,org,https://github.com/gbv/jskos-php,gbv/jskos,PHP library for JSKOS
jskos-http,library,production,PHP,org,https://github.com/gbv/jskos-http,gbv/jskos-http,JSKOS API implementation
jskos-rdf,library,production,PHP,org,https://github.com/gbv/jskos-rdf,gbv/jskos-rdf,PHP library to process JSKOS and RDF data
orcid-jskos,library,production,PHP,,https://github.com/gbv/orcid-jskos,gbv/orcid-jskos,PHP wrapper to access ORCID in JSKOS format
viaf-jskos,library,production,PHP,org,https://github.com/gbv/viaf-jskos,gbv/viaf-jskos,PHP wrapper to access VIAF in JSKOS format
bartoc-jskos,library,production,PHP,org,https://github.com/gbv/bartoc-jskos,gbv/bartoc-jskos,PHP wrapper to access BARTIC in JSKOS format
skosify,application,production,Python,org,https://github.com/NatLibFi/Skosify,skosify,command-line tool to convert and check SKOS vocabularies
bk2rdf,application,production,Perl,,https://github.com/gbv/bk2rdf,https://github.com/gbv/bk2rdf,extract and enrich BK records to MARC
wikidata-taxonomy,application,production,JavaScript,org,https://github.com/nichtich/wikidata-taxonomy,wikidata-taxonomy,command-line tool to extract taxonomies from Wikidata
wdmapper,application,production,Python,org,https://github.com/gbv/wdmapper,wdmapper,Wikidata authority file mapping tool
skos2jskos,application,prototype,Perl,org,https://github.com/gbv/skos2jskos,App-skos2jskos,Convert SKOS/RDF to JSKOS
ng-suggest,library,prototype,JavaScript,org,https://github.com/gbv/ng-suggest,ng-suggest,AngularJS module for Typeahead via OpenSearch Suggestions
ng-skos,library,prototype,JavaScript,org,https://github.com/gbv/ng-skos,ng-skos,AngularJS module for JSKOS
cocoda-db,application,prototype,Perl,org,https://github.com/gbv/cocoda-db,https://github.com/gbv/cocoda-db/releases,database backend to store and serve JSKOS
jskos-php-examples,application,demo,PHP,org,https://github.com/gbv/jskos-php-examples,https://jskos-php-examples.herokuapp.com/,Sample applications of jskos-php (wrapper etc.)
cocoda-mappings,library,demo,multiple,,https://github.com/gbv/cocoda-mappings,,"concordances, mappings and conversion scripts"
